,s,p,o,source,support
7689,semantic cluster of object,associate,p2p dht,heuristic,1
7690,semantic cluster of object,associate,semantic search engines,heuristic,2
7691,abstract concept,relate,expressive relation,heuristic,1
7692,expressive relation,relate,abstract concept,heuristic,1
7693,annotation,relate,lexical entity,heuristic,1
7694,lexical entity,relate,annotation,heuristic,1
7695,ontologies,relate,annotation,heuristic,1
7696,lexical entity,relate,search function,heuristic,1
7697,search function,relate,lexical entity,heuristic,1
7698,external annotation repository,start,known ontology,heuristic,2
7699,xpath and xpointer technology,start,known ontology,heuristic,1
7700,external annotation repository,start,lexical representation of concept class,heuristic,3
7701,xpath and xpointer technology,know,lexical representation of concept class,heuristic,2
7702,geographic information,satisfy,distributed spatial data infrastructure,heuristic,2
7703,ontologies,relate,semantic search engines,heuristic,2
7704,related entity finding,relate,entity search,heuristic,1
7705,entity search,relate,related entity finding,heuristic,1
7706,task,relate,network extraction,heuristic,1
7707,network extraction,relate,task,heuristic,1
7708,semantic ability,relate,scalability,heuristic,1
7709,scalability,relate,semantic ability,heuristic,1
7710,dst based search,balance,content search,heuristic,3
7711,lexical and morphological toolbox,orient,semantically oriented text search application,heuristic,2
7712,rest web service,digitize,digitized 19th century novel,heuristic,2
7713,targeted advertising,index,indexed semantic user profile,heuristic,2
7714,semantic profile,rank,machine learning techniques,heuristic,6
7715,semantic profile,accord,ranking model,heuristic,2
7716,learning,relate,indexing of semantic profile,heuristic,2
7717,indexing of semantic profile,relate,learning,heuristic,2
7718,ontology based retrieval,pose,bag of words retrieval system,heuristic,2
7719,resource metadata management system,intend,automated searches of online resource,heuristic,2
7720,resource metadata management system,intend,application,heuristic,2
7721,hypothesis exploring ontology,relate,pds compliant concept validating registry,heuristic,1
7722,pds compliant concept validating registry,relate,hypothesis exploring ontology,heuristic,1
7723,semantic search of resource,relate,neurodegeneration,heuristic,1
7724,manray,relate,genescene,heuristic,1
7725,genescene,relate,manray,heuristic,1
7726,manray,relate,brainwatch,heuristic,1
7727,brainwatch,relate,manray,heuristic,1
7728,pds registry,relate,ontologies,heuristic,1
7729,ontologies,relate,pds registry,heuristic,1
7730,hybrid multi objective genetic algorithm,relate,natural language processing systems,heuristic,1
7731,natural language processing systems,relate,hybrid multi objective genetic algorithm,heuristic,1
7732,enterprise interoperability,follow,lightweight semantic approach,heuristic,1
7733,enterprise search,follow,lightweight semantic approach,heuristic,1
7734,enterprise interoperability,relate,enterprise search,heuristic,1
7735,enterprise search,relate,enterprise interoperability,heuristic,1
7736,e commerce semantic search,come,construction of upper level ontology structure,heuristic,1
7737,concept node link distance,relate,information contents,heuristic,1
7738,information contents,relate,concept node link distance,heuristic,1
7739,semantic similarity measures,come,construction of upper level ontology structure,heuristic,1
7740,query condition,relate,document information,heuristic,1
7741,document information,relate,query condition,heuristic,1
7742,query condition,determine,similarity function,heuristic,1
7743,query condition,determine,semantic feature vectors of document,heuristic,1
7744,document information,determine,upper level ontology structure,heuristic,2
7745,document information,determine,similarity function,heuristic,1
7746,document information,determine,semantic feature vectors of document,heuristic,1
7747,distributed knowledge,work,heterogeneous information,heuristic,1
7748,scientific application,work,heterogeneous information,heuristic,1
7749,peer to peer network,relate,semantic web technologies,heuristic,2
7750,semantic web technologies,relate,peer to peer network,heuristic,2
7751,distributed knowledge,relate,scientific application,heuristic,1
7752,scientific application,relate,distributed knowledge,heuristic,1
7753,reference architectural model,aim,generic health service,heuristic,1
7754,reference architectural model,aim,personal mobile data,heuristic,1
7755,domain concept,mat,space constraint relationship intent,heuristic,1
7756,ontologies,mat,space constraint relationship intent,heuristic,1
7757,semantic web technologies,envision,unambiguous computerized interpretation,heuristic,2
7758,semantic descriptions,relate,computer,heuristic,1
7759,computer,relate,semantic descriptions,heuristic,1
7760,ontologies,relate,web services technology,heuristic,1
7761,web services technology,relate,ontologies,heuristic,1
7762,ontologies,relate,generative programming method,heuristic,1
7763,generative programming method,relate,ontologies,heuristic,1
7764,context aware system,relate,ontology concept,heuristic,1
7765,ontology concept,relate,context aware system,heuristic,1
7766,semantic web technologies,call,post web,heuristic,1
7767,adaptive text extraction,anchor,sensor readings,heuristic,1
7768,software engineering,relate,cognitive system,heuristic,1
7769,cognitive system,relate,software engineering,heuristic,1
7770,matching,relate,mapping,heuristic,1
7771,mapping,relate,matching,heuristic,1
7772,r tree,relate,rdf data,heuristic,1
7773,rdf data,relate,r tree,heuristic,1
7774,http,download,android platform,heuristic,1
7775,semantic question answering,remove,formal query language,heuristic,1
7776,semantic question answering,remove,semantic web technologies,heuristic,1
7777,distributed computation technique,relate,sensor network technique,heuristic,1
7778,sensor network technique,relate,distributed computation technique,heuristic,1
7779,distributed computation technique,relate,database management technique,heuristic,1
7780,database management technique,relate,distributed computation technique,heuristic,1
7781,sensor observation,acces,semantic sensor web,heuristic,3
7782,ontology stream,capture,fixed ontology,heuristic,1
7783,ontology stream,capture,time evolving ontology,heuristic,2
7784,ontologies,diagnose,anomaly,heuristic,1
7785,anomaly,depend,ontologies,heuristic,1
7786,software design patterns,occur,software design,heuristic,2
7787,reusable solution,occur,software design,heuristic,1
7788,web ontology language,relate,jess rule engine,heuristic,1
7789,jess rule engine,relate,web ontology language,heuristic,1
7790,class diagrams,relate,contracts,heuristic,1
7791,contracts,relate,class diagrams,heuristic,1
7792,semantic lens,overcome,rdf data,heuristic,2
7793,excel data set,relate,rdf data set,heuristic,1
7794,rdf data set,relate,excel data set,heuristic,1
7795,investigated technique,a-real-world-task,information sharing system,heuristic,1
7796,fao maintained vocabulary,become,thesauri and vocabulary development,heuristic,1
7797,agrovoc concept server workbench,become,vocbench,heuristic,2
7798,agrovoc concept server workbench,become,thesauri and vocabulary development,heuristic,1
7799,web ontology,emerge,information technology realm,heuristic,1
7800,tool,relate,methodology,heuristic,1
7801,methodology,relate,tool,heuristic,1
7802,methodology,relate,concept,heuristic,1
7803,concept,relate,methodology,heuristic,1
7804,artificial intelligence,relate,virtual reality technology,heuristic,1
7805,virtual reality technology,relate,artificial intelligence,heuristic,1
7806,smart meeting room system,call,easymeeting,heuristic,1
7807,smart meeting room system,call,logic reasoning,heuristic,2
7808,smart meeting room system,call,semantic web ontology,heuristic,2
7809,smart meeting room system,call,fipa agent technology,heuristic,2
7810,logic reasoning,relate,semantic web ontology,heuristic,1
7811,semantic web ontology,relate,logic reasoning,heuristic,1
7812,semantic web ontology,relate,fipa agent technology,heuristic,1
7813,fipa agent technology,relate,semantic web ontology,heuristic,1
7814,intelligent broker agent,enforce,privacy policies,heuristic,4
7815,cobra ontology,relate,logic reasoning,heuristic,1
7816,logic reasoning,relate,cobra ontology,heuristic,1
7817,ontology description language,arise,knowledge reusability,heuristic,2
7818,knowledge reusability,carry,knowledge integration,heuristic,2
7819,representing knowledge,arise,knowledge reusability,heuristic,2
7820,distributed database,associate,semantically described web portal,heuristic,1
7821,reasoning algorithms,dramatically.introduc,swrl rule,heuristic,1
7822,knowledge system,verb,speaker intention,heuristic,4
7823,heuristic,play,heuristic mechanism,heuristic,2
7824,virtual worlds,relate,metavers,heuristic,1
7825,metavers,relate,virtual worlds,heuristic,1
7826,augmented reality,relate,recommendation systems,heuristic,1
7827,recommendation systems,relate,augmented reality,heuristic,1
7828,recommendation systems,relate,virtual worlds,heuristic,1
7829,virtual worlds,relate,recommendation systems,heuristic,1
7830,context spatial temporal information,call,teslar,heuristic,1
7831,avatars,call,marvinbot,heuristic,1
7832,virtual world of second life,call,teslar,heuristic,1
7833,active recommendation system,call,teslar,heuristic,1
7834,passive and automatic recommendation system,call,marvinbot,heuristic,1
7835,semantic web technologies,relate,reference model,heuristic,1
7836,reference model,relate,semantic web technologies,heuristic,1
7837,authoritative source,relate,integration key,heuristic,1
7838,integration key,relate,authoritative source,heuristic,1
7839,caching,relate,graphical query generator,heuristic,2
7840,graphical query generator,relate,caching,heuristic,2
7841,sqo,prove,graphical query generator,heuristic,4
7842,semantic query optimization,prove,graphical query generator,heuristic,4
7843,graphical query generator,relate,data integration,heuristic,2
7844,data integration,relate,graphical query generator,heuristic,2
7845,sqo,prove,application,heuristic,4
7846,semantic query optimization,prove,application,heuristic,4
7847,sqo,prove,data integration,heuristic,4
7848,semantic query optimization,prove,data integration,heuristic,4
7849,logic framework,capture,semantic,heuristic,2
7850,logic framework,capture,technique,heuristic,6
7851,composition,motivate,application domain,heuristic,3
7852,composition,relate,interoperability,heuristic,1
7853,interoperability,relate,composition,heuristic,1
7854,semantic web technologies,pursue,syntactic and semantic level,heuristic,1
7855,semantic web technologies,pursue,interoperability,heuristic,1
7856,agro environmental planning,relate,education,heuristic,1
7857,education,relate,agro environmental planning,heuristic,1
